id,ts,team,avg_acs
31,2025-10-07 23:24:00.649033+05:00,Team Vitality,199.77
32,2025-10-07 23:24:10.664357+05:00,Sentinels,192.41
33,2025-10-07 23:24:20.674151+05:00,Trace Esports,199.12
34,2025-10-07 23:24:30.680990+05:00,FNATIC,203.36
35,2025-10-07 23:24:40.689483+05:00,Sentinels,208.73
36,2025-10-07 23:24:50.695892+05:00,EDward Gaming,204.03
37,2025-10-07 23:25:00.703373+05:00,EDward Gaming,204.33
38,2025-10-07 23:25:10.710826+05:00,EDward Gaming,203.95
39,2025-10-07 23:25:20.723696+05:00,FunPlus Phoenix,211.15
40,2025-10-07 23:25:30.736614+05:00,FUT Esports,213.86
41,2025-10-07 23:25:40.744960+05:00,Team Vitality,209.89
42,2025-10-07 23:25:50.752817+05:00,FNATIC,205.53
43,2025-10-07 23:26:00.760044+05:00,FNATIC,201.57
44,2025-10-07 23:26:10.764394+05:00,DRX,200.97
45,2025-10-07 23:26:20.772698+05:00,Gen.G,201.94
46,2025-10-07 23:26:30.779381+05:00,Paper Rex,203.51
47,2025-10-07 23:26:40.784280+05:00,Team Vitality,195.67
48,2025-10-07 23:26:50.786626+05:00,Team Heretics,195.51
49,2025-10-07 23:27:00.797816+05:00,FNATIC,191.73
50,2025-10-07 23:27:10.804398+05:00,Bilibili Gaming,196.27
51,2025-10-07 23:27:20.812073+05:00,LEVIATÁN,192.75
52,2025-10-07 23:27:30.826968+05:00,Team Vitality,187.20
53,2025-10-07 23:27:40.838076+05:00,Sentinels,180.87
54,2025-10-07 23:27:50.841229+05:00,DRX,188.27
55,2025-10-07 23:28:00.843999+05:00,Team Heretics,184.24
56,2025-10-07 23:28:10.856751+05:00,Gen.G,189.17
57,2025-10-07 23:28:20.869973+05:00,DRX,188.82
58,2025-10-07 23:28:30.884165+05:00,G2 Esports,191.97
59,2025-10-07 23:28:40.889598+05:00,Paper Rex,198.54
60,2025-10-07 23:28:50.495002+05:00,Sentinels,188.05
61,2025-10-07 23:29:00.502195+05:00,Bilibili Gaming,195.01
62,2025-10-07 23:29:10.512521+05:00,Team Heretics,197.23
63,2025-10-07 23:29:20.524589+05:00,FunPlus Phoenix,204.89
64,2025-10-07 23:29:30.532888+05:00,Sentinels,204.25
65,2025-10-07 23:29:40.549103+05:00,Team Vitality,211.07
66,2025-10-07 23:29:50.562748+05:00,FUT Esports,204.10
67,2025-10-07 23:30:00.566690+05:00,G2 Esports,197.51
68,2025-10-07 23:30:10.581812+05:00,Gen.G,199.57
69,2025-10-07 23:30:20.586728+05:00,FunPlus Phoenix,193.62
70,2025-10-07 23:30:30.592360+05:00,Sentinels,196.61
71,2025-10-07 23:30:40.608521+05:00,Sentinels,190.51
72,2025-10-07 23:30:50.622207+05:00,FNATIC,197.49
73,2025-10-07 23:31:00.628001+05:00,Gen.G,198.42
74,2025-10-07 23:31:10.641797+05:00,EDward Gaming,204.14
75,2025-10-07 23:31:20.657125+05:00,FUT Esports,206.95
76,2025-10-07 23:31:30.661264+05:00,LEVIATÁN,202.10
77,2025-10-07 23:31:40.663856+05:00,FunPlus Phoenix,205.77
78,2025-10-07 23:31:50.679905+05:00,LEVIATÁN,199.29
79,2025-10-07 23:32:00.698059+05:00,FunPlus Phoenix,198.75
80,2025-10-07 23:32:10.713886+05:00,LEVIATÁN,191.64
81,2025-10-07 23:32:20.717898+05:00,EDward Gaming,193.19
82,2025-10-07 23:32:30.722173+05:00,EDward Gaming,195.46
83,2025-10-07 23:32:40.726161+05:00,KRÜ Esports,196.79
84,2025-10-07 23:32:50.741987+05:00,FUT Esports,199.53
85,2025-10-07 23:33:00.746746+05:00,DRX,197.51
86,2025-10-07 23:33:10.753455+05:00,DRX,205.27
87,2025-10-07 23:33:20.766886+05:00,Team Heretics,210.88
88,2025-10-07 23:33:30.776438+05:00,EDward Gaming,217.28
89,2025-10-07 23:33:40.789190+05:00,KRÜ Esports,218.24
90,2025-10-07 23:33:50.805144+05:00,Paper Rex,212.98
91,2025-10-07 23:34:00.816987+05:00,Team Heretics,218.12
92,2025-10-07 23:34:10.831239+05:00,FNATIC,216.73
93,2025-10-07 23:34:20.834735+05:00,Team Heretics,219.09
94,2025-10-07 23:34:30.850076+05:00,KRÜ Esports,225.72
95,2025-10-07 23:34:40.859130+05:00,EDward Gaming,225.47
96,2025-10-07 23:34:50.863626+05:00,Sentinels,222.03
97,2025-10-07 23:35:00.880836+05:00,TALON,214.61
98,2025-10-07 23:35:10.895508+05:00,FUT Esports,207.94
99,2025-10-07 23:35:20.899520+05:00,KRÜ Esports,211.70
100,2025-10-07 23:35:30.914265+05:00,KRÜ Esports,204.53
101,2025-10-07 23:35:40.916843+05:00,EDward Gaming,199.55
102,2025-10-07 23:35:50.931805+05:00,TALON,199.09
103,2025-10-07 23:36:00.943520+05:00,Paper Rex,194.30
104,2025-10-07 23:36:10.946491+05:00,Sentinels,200.10
105,2025-10-07 23:36:20.951976+05:00,FUT Esports,198.30
106,2025-10-07 23:36:30.957568+05:00,Team Heretics,193.61
107,2025-10-07 23:36:40.966352+05:00,TALON,200.77
108,2025-10-07 23:36:50.981998+05:00,Team Vitality,204.87
109,2025-10-07 23:37:00.991198+05:00,Trace Esports,207.52
110,2025-10-07 23:37:10.997817+05:00,KRÜ Esports,214.85
111,2025-10-07 23:37:21.001024+05:00,Paper Rex,219.05
112,2025-10-07 23:37:31.003246+05:00,Gen.G,221.75
113,2025-10-07 23:37:41.010839+05:00,FunPlus Phoenix,226.23
114,2025-10-07 23:37:51.025012+05:00,TALON,229.14
115,2025-10-07 23:38:01.029790+05:00,Sentinels,223.77
116,2025-10-07 23:38:11.034981+05:00,Gen.G,218.72
117,2025-10-07 23:38:21.039315+05:00,KRÜ Esports,217.68
118,2025-10-07 23:38:31.051730+05:00,Team Vitality,214.20
119,2025-10-07 23:38:41.054712+05:00,Team Heretics,209.68
120,2025-10-07 23:38:51.063357+05:00,LEVIATÁN,208.83
121,2025-10-07 23:39:01.077762+05:00,Sentinels,209.61
122,2025-10-07 23:39:11.094303+05:00,KRÜ Esports,205.98
123,2025-10-07 23:39:21.102149+05:00,DRX,210.38
124,2025-10-07 23:39:31.117275+05:00,EDward Gaming,205.11
125,2025-10-07 23:39:41.133389+05:00,Sentinels,206.20
126,2025-10-07 23:39:51.146204+05:00,Paper Rex,212.07
127,2025-10-07 23:40:01.158124+05:00,FNATIC,211.73
128,2025-10-07 23:40:11.161534+05:00,Trace Esports,209.81
129,2025-10-07 23:40:21.165071+05:00,G2 Esports,216.00
130,2025-10-07 23:40:31.168894+05:00,Gen.G,214.31
131,2025-10-07 23:40:41.184435+05:00,Sentinels,210.73
132,2025-10-07 23:40:51.195407+05:00,Team Heretics,202.74
133,2025-10-07 23:41:01.208290+05:00,TALON,196.04
134,2025-10-07 23:41:11.223733+05:00,Sentinels,198.57
135,2025-10-07 23:41:21.231623+05:00,TALON,192.84
136,2025-10-07 23:41:31.237912+05:00,FunPlus Phoenix,190.63
137,2025-10-07 23:41:41.247292+05:00,TALON,188.98
138,2025-10-07 23:41:51.259782+05:00,G2 Esports,184.59
139,2025-10-07 23:42:01.269218+05:00,Sentinels,178.37
140,2025-10-07 23:42:11.281844+05:00,Sentinels,177.77
141,2025-10-07 23:42:21.292878+05:00,FUT Esports,179.25
142,2025-10-07 23:42:31.295373+05:00,Bilibili Gaming,183.96
143,2025-10-07 23:42:41.309914+05:00,Bilibili Gaming,190.67
144,2025-10-07 23:42:51.320444+05:00,DRX,190.12
145,2025-10-07 23:43:44.292677+05:00,TALON,241.19
146,2025-10-07 23:43:44.294078+05:00,LEVIATÁN,226.44
147,2025-10-07 23:43:44.294282+05:00,Gen.G,218.34
148,2025-10-07 23:43:44.294528+05:00,FUT Esports,264.78
149,2025-10-07 23:43:44.294756+05:00,EDward Gaming,250.77
150,2025-10-07 23:43:44.295030+05:00,FunPlus Phoenix,182.95
151,2025-10-07 23:43:44.295307+05:00,Trace Esports,253.98
152,2025-10-07 23:43:44.295532+05:00,G2 Esports,248.75
153,2025-10-07 23:43:44.295796+05:00,Paper Rex,243.64
154,2025-10-07 23:43:44.295992+05:00,KRÜ Esports,246.66
155,2025-10-07 23:43:44.296288+05:00,FNATIC,245.40
156,2025-10-07 23:43:44.296575+05:00,DRX,233.44
157,2025-10-07 23:43:44.296806+05:00,Team Heretics,193.69
158,2025-10-07 23:43:44.297009+05:00,Team Vitality,242.55
159,2025-10-07 23:43:44.297277+05:00,Sentinels,253.68
160,2025-10-07 23:43:44.297522+05:00,Bilibili Gaming,225.50
161,2025-10-07 23:43:54.310594+05:00,TALON,243.77
162,2025-10-07 23:43:54.311193+05:00,LEVIATÁN,220.13
163,2025-10-07 23:43:54.311527+05:00,Gen.G,224.88
164,2025-10-07 23:43:54.311819+05:00,FUT Esports,267.97
165,2025-10-07 23:43:54.312112+05:00,EDward Gaming,244.17
166,2025-10-07 23:43:54.312367+05:00,FunPlus Phoenix,175.17
167,2025-10-07 23:43:54.312650+05:00,Trace Esports,261.54
168,2025-10-07 23:43:54.312945+05:00,G2 Esports,256.40
169,2025-10-07 23:43:54.313238+05:00,Paper Rex,247.89
170,2025-10-07 23:43:54.313467+05:00,KRÜ Esports,252.36
171,2025-10-07 23:43:54.313689+05:00,FNATIC,249.46
172,2025-10-07 23:43:54.313930+05:00,DRX,237.93
173,2025-10-07 23:43:54.314178+05:00,Team Heretics,185.30
174,2025-10-07 23:43:54.314388+05:00,Team Vitality,235.97
175,2025-10-07 23:43:54.314627+05:00,Sentinels,252.88
176,2025-10-07 23:43:54.314850+05:00,Bilibili Gaming,225.23
177,2025-10-07 23:44:04.329883+05:00,TALON,243.99
178,2025-10-07 23:44:04.330535+05:00,LEVIATÁN,210.55
179,2025-10-07 23:44:04.330875+05:00,Gen.G,215.55
180,2025-10-07 23:44:04.331205+05:00,FUT Esports,261.89
181,2025-10-07 23:44:04.331576+05:00,EDward Gaming,247.70
182,2025-10-07 23:44:04.331852+05:00,FunPlus Phoenix,179.12
183,2025-10-07 23:44:04.332181+05:00,Trace Esports,254.32
184,2025-10-07 23:44:04.332463+05:00,G2 Esports,254.60
185,2025-10-07 23:44:04.332723+05:00,Paper Rex,239.98
186,2025-10-07 23:44:04.333026+05:00,KRÜ Esports,251.62
187,2025-10-07 23:44:04.333312+05:00,FNATIC,241.76
188,2025-10-07 23:44:04.333602+05:00,DRX,233.58
189,2025-10-07 23:44:04.333901+05:00,Team Heretics,189.37
190,2025-10-07 23:44:04.334184+05:00,Team Vitality,227.75
191,2025-10-07 23:44:04.334473+05:00,Sentinels,245.63
192,2025-10-07 23:44:04.334718+05:00,Bilibili Gaming,228.91
193,2025-10-07 23:44:14.345017+05:00,TALON,242.99
194,2025-10-07 23:44:14.347320+05:00,LEVIATÁN,209.97
195,2025-10-07 23:44:14.347614+05:00,Gen.G,222.18
196,2025-10-07 23:44:14.347850+05:00,FUT Esports,271.58
197,2025-10-07 23:44:14.348119+05:00,EDward Gaming,253.22
198,2025-10-07 23:44:14.348379+05:00,FunPlus Phoenix,176.43
199,2025-10-07 23:44:14.348612+05:00,Trace Esports,246.83
200,2025-10-07 23:44:14.348863+05:00,G2 Esports,251.21
201,2025-10-07 23:44:14.349123+05:00,Paper Rex,247.03
202,2025-10-07 23:44:14.349345+05:00,KRÜ Esports,255.45
203,2025-10-07 23:44:14.349579+05:00,FNATIC,244.50
204,2025-10-07 23:44:14.349805+05:00,DRX,229.91
205,2025-10-07 23:44:14.350046+05:00,Team Heretics,190.84
206,2025-10-07 23:44:14.350304+05:00,Team Vitality,225.35
207,2025-10-07 23:44:14.350552+05:00,Sentinels,240.64
208,2025-10-07 23:44:14.350778+05:00,Bilibili Gaming,234.37
209,2025-10-07 23:44:24.361715+05:00,TALON,239.81
210,2025-10-07 23:44:24.362322+05:00,LEVIATÁN,210.85
211,2025-10-07 23:44:24.362577+05:00,Gen.G,230.64
212,2025-10-07 23:44:24.362791+05:00,FUT Esports,271.18
213,2025-10-07 23:44:24.363006+05:00,EDward Gaming,248.49
214,2025-10-07 23:44:24.363229+05:00,FunPlus Phoenix,168.01
215,2025-10-07 23:44:24.363436+05:00,Trace Esports,252.11
216,2025-10-07 23:44:24.363650+05:00,G2 Esports,255.24
217,2025-10-07 23:44:24.363850+05:00,Paper Rex,243.04
218,2025-10-07 23:44:24.364054+05:00,KRÜ Esports,255.29
219,2025-10-07 23:44:24.364264+05:00,FNATIC,239.08
220,2025-10-07 23:44:24.364466+05:00,DRX,227.70
221,2025-10-07 23:44:24.364676+05:00,Team Heretics,200.67
222,2025-10-07 23:44:24.364906+05:00,Team Vitality,217.64
223,2025-10-07 23:44:24.365175+05:00,Sentinels,242.81
224,2025-10-07 23:44:24.365383+05:00,Bilibili Gaming,232.60
225,2025-10-07 23:44:34.370994+05:00,TALON,229.92
226,2025-10-07 23:44:34.371518+05:00,LEVIATÁN,202.28
227,2025-10-07 23:44:34.371795+05:00,Gen.G,222.90
228,2025-10-07 23:44:34.372060+05:00,FUT Esports,277.70
229,2025-10-07 23:44:34.372311+05:00,EDward Gaming,240.51
230,2025-10-07 23:44:34.372558+05:00,FunPlus Phoenix,161.02
231,2025-10-07 23:44:34.372794+05:00,Trace Esports,251.01
232,2025-10-07 23:44:34.373018+05:00,G2 Esports,257.13
233,2025-10-07 23:44:34.373255+05:00,Paper Rex,234.44
234,2025-10-07 23:44:34.373491+05:00,KRÜ Esports,247.24
235,2025-10-07 23:44:34.373733+05:00,FNATIC,245.35
236,2025-10-07 23:44:34.373951+05:00,DRX,227.42
237,2025-10-07 23:44:34.374160+05:00,Team Heretics,198.23
238,2025-10-07 23:44:34.374379+05:00,Team Vitality,209.52
239,2025-10-07 23:44:34.374681+05:00,Sentinels,250.95
240,2025-10-07 23:44:34.374943+05:00,Bilibili Gaming,223.61
241,2025-10-07 23:44:44.381692+05:00,TALON,229.85
242,2025-10-07 23:44:44.383787+05:00,LEVIATÁN,198.36
243,2025-10-07 23:44:44.384117+05:00,Gen.G,224.64
244,2025-10-07 23:44:44.384438+05:00,FUT Esports,285.50
245,2025-10-07 23:44:44.384723+05:00,EDward Gaming,241.61
246,2025-10-07 23:44:44.384961+05:00,FunPlus Phoenix,159.23
247,2025-10-07 23:44:44.385283+05:00,Trace Esports,241.35
248,2025-10-07 23:44:44.385657+05:00,G2 Esports,255.95
249,2025-10-07 23:44:44.385908+05:00,Paper Rex,240.34
250,2025-10-07 23:44:44.386381+05:00,KRÜ Esports,241.89
251,2025-10-07 23:44:44.386634+05:00,FNATIC,241.10
252,2025-10-07 23:44:44.386988+05:00,DRX,237.30
253,2025-10-07 23:44:44.387248+05:00,Team Heretics,197.18
254,2025-10-07 23:44:44.387507+05:00,Team Vitality,202.78
255,2025-10-07 23:44:44.387768+05:00,Sentinels,247.96
256,2025-10-07 23:44:44.388012+05:00,Bilibili Gaming,218.12
257,2025-10-07 23:44:54.392708+05:00,TALON,222.90
258,2025-10-07 23:44:54.396496+05:00,LEVIATÁN,205.78
259,2025-10-07 23:44:54.396947+05:00,Gen.G,223.41
260,2025-10-07 23:44:54.397268+05:00,FUT Esports,278.43
261,2025-10-07 23:44:54.397604+05:00,EDward Gaming,249.36
262,2025-10-07 23:44:54.397886+05:00,FunPlus Phoenix,149.71
263,2025-10-07 23:44:54.398167+05:00,Trace Esports,250.86
264,2025-10-07 23:44:54.398461+05:00,G2 Esports,250.65
265,2025-10-07 23:44:54.398763+05:00,Paper Rex,242.07
266,2025-10-07 23:44:54.399077+05:00,KRÜ Esports,239.93
267,2025-10-07 23:44:54.399355+05:00,FNATIC,234.75
268,2025-10-07 23:44:54.399649+05:00,DRX,242.03
269,2025-10-07 23:44:54.399948+05:00,Team Heretics,202.19
270,2025-10-07 23:44:54.400228+05:00,Team Vitality,204.92
271,2025-10-07 23:44:54.400505+05:00,Sentinels,251.81
272,2025-10-07 23:44:54.400818+05:00,Bilibili Gaming,208.97
273,2025-10-07 23:45:04.408205+05:00,TALON,218.81
274,2025-10-07 23:45:04.410238+05:00,LEVIATÁN,207.37
275,2025-10-07 23:45:04.410510+05:00,Gen.G,225.31
276,2025-10-07 23:45:04.410807+05:00,FUT Esports,271.53
277,2025-10-07 23:45:04.411139+05:00,EDward Gaming,239.43
278,2025-10-07 23:45:04.411414+05:00,FunPlus Phoenix,158.37
279,2025-10-07 23:45:04.411689+05:00,Trace Esports,257.27
280,2025-10-07 23:45:04.411950+05:00,G2 Esports,247.72
281,2025-10-07 23:45:04.412158+05:00,Paper Rex,238.96
282,2025-10-07 23:45:04.412365+05:00,KRÜ Esports,232.96
283,2025-10-07 23:45:04.412590+05:00,FNATIC,226.80
284,2025-10-07 23:45:04.412823+05:00,DRX,249.57
285,2025-10-07 23:45:04.413032+05:00,Team Heretics,209.99
286,2025-10-07 23:45:04.413239+05:00,Team Vitality,200.73
287,2025-10-07 23:45:04.413446+05:00,Sentinels,251.48
288,2025-10-07 23:45:04.413663+05:00,Bilibili Gaming,215.14
289,2025-10-07 23:45:14.415082+05:00,TALON,221.85
290,2025-10-07 23:45:14.417861+05:00,LEVIATÁN,208.20
291,2025-10-07 23:45:14.418250+05:00,Gen.G,233.65
292,2025-10-07 23:45:14.418629+05:00,FUT Esports,281.10
293,2025-10-07 23:45:14.418939+05:00,EDward Gaming,235.61
294,2025-10-07 23:45:14.419243+05:00,FunPlus Phoenix,153.27
295,2025-10-07 23:45:14.419539+05:00,Trace Esports,250.94
296,2025-10-07 23:45:14.419874+05:00,G2 Esports,255.22
297,2025-10-07 23:45:14.420172+05:00,Paper Rex,242.36
298,2025-10-07 23:45:14.420479+05:00,KRÜ Esports,239.36
299,2025-10-07 23:45:14.420762+05:00,FNATIC,218.13
300,2025-10-07 23:45:14.421044+05:00,DRX,254.76
301,2025-10-07 23:45:14.421340+05:00,Team Heretics,218.65
302,2025-10-07 23:45:14.421709+05:00,Team Vitality,205.03
303,2025-10-07 23:45:14.422079+05:00,Sentinels,257.23
304,2025-10-07 23:45:14.422367+05:00,Bilibili Gaming,224.71
305,2025-10-07 23:45:24.423816+05:00,TALON,220.70
306,2025-10-07 23:45:24.424588+05:00,LEVIATÁN,207.84
307,2025-10-07 23:45:24.424911+05:00,Gen.G,237.65
308,2025-10-07 23:45:24.425267+05:00,FUT Esports,278.84
309,2025-10-07 23:45:24.425577+05:00,EDward Gaming,237.04
310,2025-10-07 23:45:24.425864+05:00,FunPlus Phoenix,153.09
311,2025-10-07 23:45:24.426149+05:00,Trace Esports,247.19
312,2025-10-07 23:45:24.426434+05:00,G2 Esports,249.41
313,2025-10-07 23:45:24.426729+05:00,Paper Rex,247.59
314,2025-10-07 23:45:24.427019+05:00,KRÜ Esports,248.32
315,2025-10-07 23:45:24.427302+05:00,FNATIC,217.80
316,2025-10-07 23:45:24.427634+05:00,DRX,262.01
317,2025-10-07 23:45:24.427936+05:00,Team Heretics,209.96
318,2025-10-07 23:45:24.428240+05:00,Team Vitality,208.76
319,2025-10-07 23:45:24.428525+05:00,Sentinels,265.36
320,2025-10-07 23:45:24.428831+05:00,Bilibili Gaming,228.82
321,2025-10-07 23:45:34.434340+05:00,TALON,224.30
322,2025-10-07 23:45:34.434789+05:00,LEVIATÁN,211.78
323,2025-10-07 23:45:34.435065+05:00,Gen.G,247.25
324,2025-10-07 23:45:34.435336+05:00,FUT Esports,280.65
325,2025-10-07 23:45:34.435566+05:00,EDward Gaming,233.33
326,2025-10-07 23:45:34.435798+05:00,FunPlus Phoenix,146.69
327,2025-10-07 23:45:34.436024+05:00,Trace Esports,254.09
328,2025-10-07 23:45:34.436233+05:00,G2 Esports,258.33
329,2025-10-07 23:45:34.436438+05:00,Paper Rex,243.27
330,2025-10-07 23:45:34.436656+05:00,KRÜ Esports,246.85
331,2025-10-07 23:45:34.436872+05:00,FNATIC,214.95
332,2025-10-07 23:45:34.437079+05:00,DRX,267.13
333,2025-10-07 23:45:34.437279+05:00,Team Heretics,219.37
334,2025-10-07 23:45:34.437480+05:00,Team Vitality,205.37
335,2025-10-07 23:45:34.437680+05:00,Sentinels,265.73
336,2025-10-07 23:45:34.437886+05:00,Bilibili Gaming,233.77
337,2025-10-07 23:45:44.447292+05:00,TALON,227.04
338,2025-10-07 23:45:44.449525+05:00,LEVIATÁN,210.40
339,2025-10-07 23:45:44.449891+05:00,Gen.G,239.28
340,2025-10-07 23:45:44.450185+05:00,FUT Esports,275.86
341,2025-10-07 23:45:44.450483+05:00,EDward Gaming,224.20
342,2025-10-07 23:45:44.450771+05:00,FunPlus Phoenix,139.85
343,2025-10-07 23:45:44.451055+05:00,Trace Esports,245.93
344,2025-10-07 23:45:44.451357+05:00,G2 Esports,260.02
345,2025-10-07 23:45:44.451666+05:00,Paper Rex,238.41
346,2025-10-07 23:45:44.451954+05:00,KRÜ Esports,248.15
347,2025-10-07 23:45:44.452241+05:00,FNATIC,222.66
348,2025-10-07 23:45:44.452537+05:00,DRX,266.32
349,2025-10-07 23:45:44.452842+05:00,Team Heretics,219.38
350,2025-10-07 23:45:44.453212+05:00,Team Vitality,196.82
351,2025-10-07 23:45:44.453553+05:00,Sentinels,265.97
352,2025-10-07 23:45:44.453844+05:00,Bilibili Gaming,237.17
353,2025-10-07 23:45:54.454444+05:00,TALON,217.62
354,2025-10-07 23:45:54.456485+05:00,LEVIATÁN,202.41
355,2025-10-07 23:45:54.456925+05:00,Gen.G,246.94
356,2025-10-07 23:45:54.457277+05:00,FUT Esports,270.77
357,2025-10-07 23:45:54.457576+05:00,EDward Gaming,225.47
358,2025-10-07 23:45:54.457908+05:00,FunPlus Phoenix,132.92
359,2025-10-07 23:45:54.458218+05:00,Trace Esports,242.63
360,2025-10-07 23:45:54.458533+05:00,G2 Esports,256.16
361,2025-10-07 23:45:54.458943+05:00,Paper Rex,238.65
362,2025-10-07 23:45:54.459293+05:00,KRÜ Esports,242.82
363,2025-10-07 23:45:54.459601+05:00,FNATIC,213.20
364,2025-10-07 23:45:54.459895+05:00,DRX,262.90
365,2025-10-07 23:45:54.460192+05:00,Team Heretics,218.27
366,2025-10-07 23:45:54.460479+05:00,Team Vitality,198.71
367,2025-10-07 23:45:54.460765+05:00,Sentinels,258.80
368,2025-10-07 23:45:54.461028+05:00,Bilibili Gaming,237.51
369,2025-10-07 23:46:04.466067+05:00,TALON,216.14
370,2025-10-07 23:46:04.466785+05:00,LEVIATÁN,196.48
371,2025-10-07 23:46:04.467133+05:00,Gen.G,249.23
372,2025-10-07 23:46:04.467453+05:00,FUT Esports,263.31
373,2025-10-07 23:46:04.468025+05:00,EDward Gaming,222.13
374,2025-10-07 23:46:04.468347+05:00,FunPlus Phoenix,126.23
375,2025-10-07 23:46:04.468635+05:00,Trace Esports,244.70
376,2025-10-07 23:46:04.468915+05:00,G2 Esports,256.76
377,2025-10-07 23:46:04.469257+05:00,Paper Rex,244.33
378,2025-10-07 23:46:04.469581+05:00,KRÜ Esports,247.20
379,2025-10-07 23:46:04.469898+05:00,FNATIC,215.62
380,2025-10-07 23:46:04.470214+05:00,DRX,268.22
381,2025-10-07 23:46:04.470560+05:00,Team Heretics,210.75
382,2025-10-07 23:46:04.470925+05:00,Team Vitality,195.19
383,2025-10-07 23:46:04.471270+05:00,Sentinels,266.86
384,2025-10-07 23:46:04.471636+05:00,Bilibili Gaming,229.47
385,2025-10-07 23:46:14.477333+05:00,TALON,224.55
386,2025-10-07 23:46:14.479232+05:00,LEVIATÁN,205.43
387,2025-10-07 23:46:14.479560+05:00,Gen.G,241.74
388,2025-10-07 23:46:14.479813+05:00,FUT Esports,262.39
389,2025-10-07 23:46:14.480072+05:00,EDward Gaming,223.11
390,2025-10-07 23:46:14.480304+05:00,FunPlus Phoenix,123.64
391,2025-10-07 23:46:14.480572+05:00,Trace Esports,236.49
392,2025-10-07 23:46:14.480826+05:00,G2 Esports,254.99
393,2025-10-07 23:46:14.481036+05:00,Paper Rex,236.37
394,2025-10-07 23:46:14.481241+05:00,KRÜ Esports,256.80
395,2025-10-07 23:46:14.481459+05:00,FNATIC,209.64
396,2025-10-07 23:46:14.481696+05:00,DRX,269.45
397,2025-10-07 23:46:14.481902+05:00,Team Heretics,216.42
398,2025-10-07 23:46:14.482107+05:00,Team Vitality,186.46
399,2025-10-07 23:46:14.482312+05:00,Sentinels,273.89
400,2025-10-07 23:46:14.482518+05:00,Bilibili Gaming,232.44
401,2025-10-07 23:46:24.483768+05:00,TALON,233.84
402,2025-10-07 23:46:24.484276+05:00,LEVIATÁN,204.27
403,2025-10-07 23:46:24.484543+05:00,Gen.G,250.37
404,2025-10-07 23:46:24.484789+05:00,FUT Esports,261.41
405,2025-10-07 23:46:24.485019+05:00,EDward Gaming,221.63
406,2025-10-07 23:46:24.485244+05:00,FunPlus Phoenix,124.53
407,2025-10-07 23:46:24.485480+05:00,Trace Esports,240.87
408,2025-10-07 23:46:24.485712+05:00,G2 Esports,254.39
409,2025-10-07 23:46:24.487223+05:00,Paper Rex,241.67
410,2025-10-07 23:46:24.487501+05:00,KRÜ Esports,253.77
411,2025-10-07 23:46:24.487751+05:00,FNATIC,215.75
412,2025-10-07 23:46:24.487979+05:00,DRX,273.43
413,2025-10-07 23:46:24.488269+05:00,Team Heretics,222.08
414,2025-10-07 23:46:24.488544+05:00,Team Vitality,180.61
415,2025-10-07 23:46:24.488778+05:00,Sentinels,264.91
416,2025-10-07 23:46:24.489029+05:00,Bilibili Gaming,239.64
417,2025-10-07 23:46:34.493460+05:00,TALON,225.29
418,2025-10-07 23:46:34.494192+05:00,LEVIATÁN,212.13
419,2025-10-07 23:46:34.494535+05:00,Gen.G,258.59
420,2025-10-07 23:46:34.494846+05:00,FUT Esports,265.34
421,2025-10-07 23:46:34.495136+05:00,EDward Gaming,215.83
